"Call Type","Caller","Receiver","Start Time","End Time"
"01","79993334444","79876543221","2025-01-01T02:45:17","2025-01-01T02:59:40"
"01","79997776666","79876543221","2025-01-01T05:32:31","2025-01-01T05:36:01"
"01","79876543221","79874443333","2025-01-02T13:38:37","2025-01-02T13:45:40"
"02","79876543221","79996667755","2025-01-03T17:06:33","2025-01-03T17:40:49"
"02","79995558888","79876543221","2025-01-05T10:36:54","2025-01-05T10:45:27"
"02","79874443333","79876543221","2025-01-05T11:49:27","2025-01-05T12:48"
"02","79111112222","79876543221","2025-01-05T16:05:25","2025-01-05T16:55:38"
"02","79111112222","79876543221","2025-01-06T03:23:57","2025-01-06T03:54:24"
"01","79874443333","79876543221","2025-01-06T04:25:03","2025-01-06T05:04:09"
"01","79123456789","79876543221","2025-01-06T08:21:06","2025-01-06T09:19:35"
"01","79876543221","79995558888","2025-01-06T10:54:19","2025-01-06T11:33:58"
"02","79876543221","79111112222","2025-01-06T20:54:21","2025-01-06T21:33:06"
"01","79876543221","79111112222","2025-01-06T21:10:53","2025-01-06T21:12"
"01","79876543221","79995558888","2025-01-06T23:19:47","2025-01-06T23:27:50"
"01","79997776666","79876543221","2025-01-08T22:04:15","2025-01-08T22:55:41"
"01","79997776666","79876543221","2025-01-09T09:38:50","2025-01-09T09:38:55"
"01","79876543221","79874443333","2025-01-09T10:09:31","2025-01-09T10:22:55"
"02","79992221122","79876543221","2025-01-10T09:32:53","2025-01-10T10:06:03"
"01","79874443333","79876543221","2025-01-11T13:12:03","2025-01-11T14:05:55"
"01","79876543221","79995558888","2025-01-12T00:51:32","2025-01-12T01:35:22"
"02","79876543221","79123456789","2025-01-12T22:28:20","2025-01-12T23:01:42"
"01","79876543221","79874443333","2025-01-12T23:46:47","2025-01-13T00:37:05"
"01","79111112222","79876543221","2025-01-13T06:43:32","2025-01-13T07:13:52"
"02","79995558888","79876543221","2025-01-13T13:00:56","2025-01-13T13:28:03"
"02","79876543221","79123456789","2025-01-13T23:02:23","2025-01-13T23:03:57"
"02","79995558888","79876543221","2025-01-14T01:37:19","2025-01-14T02:21"
"01","79123456789","79876543221","2025-01-14T14:20:08","2025-01-14T14:27:30"
"01","79995558888","79876543221","2025-01-14T20:47:35","2025-01-14T21:01:03"
"01","79996667755","79876543221","2025-01-15T01:36:54","2025-01-15T02:04:36"
"01","79876543221","79874443333","2025-01-15T10:01:22","2025-01-15T10:33:31"
"02","79876543221","79993334444","2025-01-15T17:21:47","2025-01-15T17:49:34"
"01","79876543221","79123456789","2025-01-16T02:02:46","2025-01-16T02:55:44"
"02","79876543221","79995558888","2025-01-16T03:37:47","2025-01-16T04:09:24"
"02","79876543221","79888885555","2025-01-16T05:38:07","2025-01-16T06:25:56"
"02","79874443333","79876543221","2025-01-16T09:09:14","2025-01-16T09:29:27"
"01","79876543221","79996667755","2025-01-18T04:32:53","2025-01-18T05:10:53"
"01","79123456789","79876543221","2025-01-18T11:07:58","2025-01-18T11:30:47"
"02","79876543221","79995558888","2025-01-19T07:21:38","2025-01-19T07:32:21"
"02","79876543221","79111112222","2025-01-19T20:17:56","2025-01-19T20:44:30"
"01","79876543221","79993334444","2025-01-20T05:39:50","2025-01-20T05:56:14"
"02","79876543221","79993334444","2025-01-21T01:38:18","2025-01-21T01:49:14"
"01","79876543221","79888885555","2025-01-21T02:56:08","2025-01-21T03:24:07"
"01","79876543221","79888885555","2025-01-21T04:28:11","2025-01-21T04:45:19"
"01","79874443333","79876543221","2025-01-21T11:11:21","2025-01-21T11:38:28"
"02","79996667755","79876543221","2025-01-22T00:27:24","2025-01-22T01:27:09"
"01","79876543221","79995558888","2025-01-22T09:56:45","2025-01-22T10:27:10"
"02","79876543221","79992221122","2025-01-22T20:52:36","2025-01-22T21:29:21"
"02","79996667755","79876543221","2025-01-22T21:45:08","2025-01-22T21:48:56"
"02","79995558888","79876543221","2025-01-24T00:25:11","2025-01-24T01:15:31"
"02","79876543221","79111112222","2025-01-24T20:46:35","2025-01-24T21:32:50"
"01","79888885555","79876543221","2025-01-25T05:39:50","2025-01-25T06:36:32"
"02","79992221122","79876543221","2025-01-25T08:06:15","2025-01-25T08:28:57"
"02","79992221122","79876543221","2025-01-25T12:02:52","2025-01-25T13:00:29"
"02","79876543221","79123456789","2025-01-25T14:31:56","2025-01-25T15:20:57"
"01","79876543221","79997776666","2025-01-26T06:02:38","2025-01-26T06:16:53"
"01","79876543221","79992221122","2025-01-26T13:43:59","2025-01-26T13:51:25"
"01","79876543221","79111112222","2025-01-27T03:54:39","2025-01-27T04:19:38"
"01","79876543221","79997776666","2025-01-27T06:28:51","2025-01-27T06:33:44"
"02","79876543221","79995558888","2025-01-27T08:10:36","2025-01-27T08:47:09"
"01","79876543221","79992221122","2025-01-27T19:49:25","2025-01-27T20:18:46"
"02","79876543221","79123456789","2025-02-01T06:36:41","2025-02-01T06:44:02"
"01","79123456789","79876543221","2025-02-01T07:09:05","2025-02-01T07:41:11"
"01","79876543221","79992221122","2025-02-01T08:42:25","2025-02-01T09:39:30"
"01","79992221122","79876543221","2025-02-02T16:05:57","2025-02-02T16:42:04"
"02","79123456789","79876543221","2025-02-03T00:58:44","2025-02-03T01:06:30"
"02","79876543221","79123456789","2025-02-03T10:02:12","2025-02-03T10:11:51"
"01","79876543221","79888885555","2025-02-04T00:44:51","2025-02-04T01:16:54"
"01","79876543221","79111112222","2025-02-04T04:56:19","2025-02-04T05:48:20"
"01","79876543221","79874443333","2025-02-04T06:18:59","2025-02-04T06:51:37"
"02","79888885555","79876543221","2025-02-05T17:26:38","2025-02-05T18:02:02"
"02","79996667755","79876543221","2025-02-06T09:53:04","2025-02-06T10:33:40"
"02","79992221122","79876543221","2025-02-06T10:54:51","2025-02-06T11:31:25"
"01","79876543221","79997776666","2025-02-06T14:00:47","2025-02-06T14:34:53"
"01","79123456789","79876543221","2025-02-06T18:26:51","2025-02-06T18:41:12"
"01","79995558888","79876543221","2025-02-07T08:33:06","2025-02-07T08:34"
"01","79876543221","79996667755","2025-02-08T00:58:04","2025-02-08T01:09:47"
"02","79876543221","79993334444","2025-02-08T10:51:37","2025-02-08T11:34:46"
"01","79888885555","79876543221","2025-02-08T21:04:53","2025-02-08T21:56:25"
"01","79876543221","79888885555","2025-02-09T04:24:44","2025-02-09T04:55:09"
"02","79876543221","79123456789","2025-02-09T21:38:20","2025-02-09T22:25:21"
"02","79992221122","79876543221","2025-02-10T14:09:50","2025-02-10T14:58:06"
"01","79876543221","79996667755","2025-02-11T07:44:23","2025-02-11T08:38:13"
"02","79876543221","79874443333","2025-02-11T20:44:49","2025-02-11T21:23:25"
"02","79123456789","79876543221","2025-02-12T07:10:48","2025-02-12T08:05:16"
"01","79876543221","79992221122","2025-02-12T08:00:08","2025-02-12T08:37:04"
"01","79111112222","79876543221","2025-02-12T13:21:04","2025-02-12T14:20:11"
"01","79123456789","79876543221","2025-02-12T16:09:31","2025-02-12T16:31:16"
